key,impact_chosen,title,relevance
AZ-HCR2025-Y2020,None,"Legislative immunity; repeal. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Senate' => 'None', 'State' => 'None'"
AZ-HCR2026-Y2020,None,"Repeal; marriage. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Repeal' => 'None', 'Senate' => 'None'"
AZ-HCR2027-Y2020,None,"Legislators- qualifications; technical correction. ","'Arizona' => 'Location', 'House of Representatives' => 'None', 'Senate' => 'None', 'State' => 'None'"
AZ-HCR2028-Y2020,None,"Independent redistricting commission; nine members. ","'Arizona' => 'Location', 'House of Representatives' => 'None', 'Senate' => 'None', 'State' => 'None'"
AZ-HCR2029-Y2020,None,"Campaign finance; source disclosure. ","'Arizona' => 'Location', 'Campaign finance' => 'None', 'Constitution' => 'None', 'Election' => 'None', 'Elections' => 'None'"
AZ-HCR2030-Y2020,None,"Refugees in Arizona; support. ","'Arizona' => 'Location', 'United States' => 'Location', 'House of Representatives' => 'None', 'Legislature' => 'None', 'Program' => 'None'"
AZ-HCR2031-Y2020,None,"Education; TPT; use tax.. ","'Education' => 'Education', 'Student' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None'"
AZ-HCR2032-Y2020,None,"Initiatives; single subject; title. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Initiative' => 'None', 'Legislature' => 'None'"
AZ-HCR2033-Y2020,None,"Second amendment; supporting. ","'Arizona' => 'Location', 'United States' => 'Location', 'Bill' => 'None', 'Constitution' => 'None', 'House of Representatives' => 'None'"
AZ-HCR2034-Y2020,Environment,"Vaping; feminine hygiene; tax; exemption. ","'Groundwater' => 'Environment', 'Natural gas' => 'Environment', 'Renewable energy' => 'Environment', 'Coal' => 'Environment', 'Hearing' => 'Healthcare'"
AZ-HCR2035-Y2020,None,"Technical correction; racing commission; prohibition. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HCR2036-Y2020,Safety,"Sanctuary jurisdiction; prohibition; law enforcement. ","'Security' => 'Safety', 'Home' => 'Safety', 'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None'"
AZ-HCR2037-Y2020,Safety,"Short-term rentals; vacation rentals. ","'Vacation rental' => 'Safety', 'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'Federal' => 'None'"
AZ-HCR2038-Y2020,None,"Special agency funds; limitation. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HCR2039-Y2020,None,"Initiative; referendum; signatures; legislative districts. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Initiative and referendum' => 'None', 'Initiative' => 'None'"
AZ-HCR2040-Y2020,None,"Initiatives; single subject; title. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Initiative and referendum' => 'None', 'Initiative' => 'None'"
AZ-HCR2041-Y2020,None,"Corporation commission; appointment; members. ","'Arizona' => 'Location', 'Constitution' => 'None', 'Corporation' => 'None', 'House of Representatives' => 'None', 'Legislature' => 'None'"
AZ-HCR2042-Y2020,Healthcare,"Teachers; ethics standards; rules. ","'Emergency medical services' => 'Healthcare', 'Teacher' => 'Jobs', 'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None'"
AZ-HCR2043-Y2020,None,"School districts; aggregate expenditure limit. ","'School district' => 'Education', 'School districts' => 'Education', 'School' => 'Education', 'Arizona' => 'Location', 'United States' => 'Location'"
AZ-HCR2044-Y2020,None,"Medical marijuana fund; use. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Legislature' => 'None', 'Section' => 'None'"
AZ-HCR2045-Y2020,Transportation,"Medical marijuana; mental health; research. ","'Transport' => 'Transportation', 'Arizona' => 'Location', 'Constitution' => 'None', 'Grant' => 'None', 'Grants' => 'None'"
AZ-HCR2046-Y2020,None,"Initiatives; referendums; reauthorization. ","'Arizona' => 'Location', 'Constitution' => 'None', 'House of Representatives' => 'None', 'Initiative' => 'None', 'Law' => 'None'"
AZ-HCR2047-Y2020,Jobs,"Education funding. ","'Income tax' => 'Jobs', 'Income' => 'Jobs', 'Education' => 'Education', 'School district' => 'Education', 'School districts' => 'Education'"
AZ-HCR2048-Y2020,None,"In-state tuition; universities; community colleges. ","'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'Court' => 'None', 'House of Representatives' => 'None'"
AZ-HM2001-Y2020,None,"Federalism commission; summit; urging president. ","'Arizona' => 'Location', 'United States' => 'Location', 'Constitution' => 'None', 'Federal' => 'None', 'House of Representatives' => 'None'"
